word,short_form
automobil,#atb#
automobile,#atb#
automobiles,#atb#
enterprise,#ent#
enterprises,#ent#
industri,#ind#
industrie,#ind#
industries,#ind#
industry,#ind#
investment,#inv#
investments,#inv#
investissement,#inv# 
investissements,#inv# 
pharmaceutica,#phm#
pharmaceutical,#phm#
pharmaceuticals,#phm#
production,#prn#
productions,#prn#
technologie,#tcn#
technologies,#tcn#
technology,#tcn#
consulting,#clt#
conseil,#clt#
consult,#clt#
distribution,#dis#
distrib,#dis#
groupe,#grp#
group,#grp#
immobilier,#imm#
immo,#imm#
services,#srv#
service,#srv#
transports,#trp#
transport,#trp#
transporte,#trp#
trans,#trp#
