abbreviation,full_name
sh.a.,Shoqëri Aksionare
sh.p.k.,Shoqëri me Përgjegjësi të Kufizuar
s.a.,Sociedad Anónima
s.r.l.,Sociedad de Responsabilidad Limitada
s.c.p.a,Sociedad en Comandita por Acciones
scpa,Sociedad en Comandita por Acciones
s.c.e i.,Sociedad de Capital e Industria
s.e.,Sociedad del Estado
s.g.r,Sociedad de Garantía Recíproca
soc.col.,Sociedad Colectiva
nl,No Liability
pty. ltd.,Proprietary Limited
pty ltd,Proprietary Limited
e.u.,Einzelunternehmen
stg,Stille Gesellschaft
gesbr,Gesellschaft bürgerlichen Rechts
a.g.,Aktiengesellschaft
ag,Aktiengesellschaft
og,Offene Gesellschaft 
kg,Kommanditgesellschaft
aat,Aktsyyanernaye atkrytae tavarystva
3at,Zakrytae aktsyyanernae tavarystva
esv,Economische Samenwerkingsverband 
vzw,Vereniging zonder winstoogmerk 
vof,Vennootschap onder firma
snc,Société en nom collectif
comm.v,Commanditaire vennootschap
scs,Société en commandite simple 
bvba,Besloten vennootschap met beperkte aansprakelijkheid 
sprl,Société privée à responsabilité limitée 
cvba,Coöperatieve vennootschap met beperkte aansprakelijkheid 
cvoa,Coöperatieve vennootschap zonder beperkte aansprakelijkheid 
sca,Société en commandite par actions 
sep,Société européenne privée 
gie,Groepering van economisch belang
d.d.,drushtvo s ogranichenom odgovornoshtyu
a.d.,aktsionerno drushtvo
d.n.o.,drushtvo s neogranichenom odgovornoshtyu
d.o.o.,drushtvo s ogranichenom odgovornoshtyu
k.v.,komanditno drushtvo
s.p.,samostalni preduzetnik
ltda,Limitada 
s.a.,Sociedade Anônima 
pllc,Professional Limited Liability Co. 
ad,Assembleia de Deus
adsitz,Not applicable in Brazil 
ead,Educação a Distância
et,Empresa de Transporte 
kd,Not applicable in Brazil 
kda,Not applicable in Brazil 
sd,Sociedade em Descomandita
ad,aktsionerno druzhestvo
adsitz,aktsionerno druzhestvo s iztsialena otgovornost
ead,ednolichno aktsionerno druzhestvo
